Date,Views,Day_of_Week
2015-10-21,21.55,Wednesday
2015-10-22,21.47,Thursday
2015-10-23,18.92,Friday
2015-10-24,17.53,Saturday
2015-10-25,20.1,Sunday
2015-10-26,20.55,Monday
2015-10-27,20.89,Tuesday
2015-10-28,20.54,Wednesday
2015-10-29,18.82,Thursday
2015-10-30,18.18,Friday
2015-10-31,18.12,Saturday
2015-11-01,17.97,Sunday
2015-11-02,21.33,Monday
2015-11-03,21.05,Tuesday
2015-11-04,20.02,Wednesday
2015-11-05,19.78,Thursday
2015-11-06,18.06,Friday
2015-11-07,17.54,Saturday
2015-11-08,18.54,Sunday
2015-11-09,20.78,Monday
2015-11-10,19.63,Tuesday
2015-11-11,19.2,Wednesday
2015-11-12,18.8,Thursday
2015-11-13,18.12,Friday
2015-11-14,18.07,Saturday
2015-11-15,19.12,Sunday
2015-11-16,20.88,Monday
2015-11-17,19.79,Tuesday
2015-11-18,19.89,Wednesday
2015-11-19,19.15,Thursday
2015-11-20,17.57,Friday
2015-11-21,18.95,Saturday
2015-11-22,19.46,Sunday
2015-11-23,20.56,Monday
2015-11-24,19.45,Tuesday
2015-11-25,18.82,Wednesday
2015-11-26,18.14,Thursday
2015-11-27,17.9,Friday
2015-11-28,19.15,Saturday
2015-11-29,19.28,Sunday
2015-11-30,21.37,Monday
2015-12-01,20.1,Tuesday
2015-12-02,18.21,Wednesday
2015-12-03,18.57,Thursday
2015-12-04,17.96,Friday
2015-12-05,18.17,Saturday
2015-12-06,18.41,Sunday
2015-12-07,21.11,Monday
2015-12-08,20.08,Tuesday
2015-12-09,18.03,Wednesday
2015-12-10,16.57,Thursday
2015-12-11,17.55,Friday
2015-12-12,16.26,Saturday
2015-12-13,18.34,Sunday
2015-12-14,19.25,Monday
2015-12-15,17.27,Tuesday
2015-12-16,17.62,Wednesday
2015-12-17,16.54,Thursday
2015-12-18,16.28,Friday
2015-12-19,16.65,Saturday
2015-12-20,16.68,Sunday
2015-12-21,17.8,Monday
2015-12-22,17.44,Tuesday
2015-12-23,17.78,Wednesday
2015-12-24,17.21,Thursday
2015-12-25,15.98,Friday
2015-12-26,17.89,Saturday
2015-12-27,17.4,Sunday
2015-12-28,18.94,Monday
2015-12-29,17.57,Tuesday
2015-12-30,17.38,Wednesday
2015-12-31,16.96,Thursday
2016-01-01,16.36,Friday
2016-01-02,17.61,Saturday
2016-01-03,17.54,Sunday
2016-01-04,19.23,Monday
2016-01-05,18.14,Tuesday
2016-01-06,18.38,Wednesday
2016-01-07,17.28,Thursday
2016-01-08,16.44,Friday
2016-01-09,16.44,Saturday
2016-01-10,17.28,Sunday
2016-01-11,19.1,Monday
2016-01-12,18.45,Tuesday
2016-01-13,17.2,Wednesday
2016-01-14,18.14,Thursday
2016-01-15,17.46,Friday
2016-01-16,18.22,Saturday
2016-01-17,18.7,Sunday
2016-01-18,19.39,Monday
2016-01-19,19.66,Tuesday
2016-01-20,18.72,Wednesday
2016-01-21,18.93,Thursday
2016-01-22,16.9,Friday
2016-01-23,17.53,Saturday
2016-01-24,17.62,Sunday
2016-01-25,20.1,Monday
2016-01-26,18.64,Tuesday
2016-01-27,19.26,Wednesday
2016-01-28,17.27,Thursday
2016-01-29,17.16,Friday
2016-01-30,17.09,Saturday
2016-01-31,18.36,Sunday
2016-02-01,20.28,Monday
2016-02-02,18.92,Tuesday
2016-02-03,18.86,Wednesday
2016-02-04,18.48,Thursday
2016-02-05,17.84,Friday
2016-02-06,18.59,Saturday
2016-02-07,19.31,Sunday
2016-02-08,20.74,Monday
2016-02-09,20.4,Tuesday
2016-02-10,17.8,Wednesday
2016-02-11,15.99,Thursday
2016-02-12,16.62,Friday
2016-02-13,17.48,Saturday
2016-02-14,18.73,Sunday
2016-02-15,20.03,Monday
2016-02-16,20.58,Tuesday
2016-02-17,20.48,Wednesday
2016-02-18,18.84,Thursday
2016-02-19,17.77,Friday
2016-02-20,17.82,Saturday
2016-02-21,18.61,Sunday
2016-02-22,20.42,Monday
2016-02-23,19.12,Tuesday
2016-02-24,18.96,Wednesday
2016-02-25,19.34,Thursday
2016-02-26,18.11,Friday
2016-02-27,18.72,Saturday
2016-02-28,19.8,Sunday
2016-02-29,21.58,Monday
2016-03-01,19.91,Tuesday
2016-03-02,19.66,Wednesday
2016-03-03,21.09,Thursday
2016-03-04,17.95,Friday
2016-03-05,19.49,Saturday
2016-03-06,18.44,Sunday
2016-03-07,19.34,Monday
2016-03-08,18.44,Tuesday
2016-03-09,18.14,Wednesday
2016-03-10,17.28,Thursday
2016-03-11,15.68,Friday
2016-03-12,16.38,Saturday
2016-03-13,14.68,Sunday
2016-03-14,18.62,Monday
2016-03-15,16.79,Tuesday
2016-03-16,16.29,Wednesday
2016-03-17,16.04,Thursday
2016-03-18,15.87,Friday
2016-03-19,14.5,Saturday
2016-03-20,18.17482758620689,Sunday
2016-03-21,15.32,Monday
2016-03-22,18.069999999999993,Tuesday
2016-03-23,15.11,Wednesday
2016-03-24,14.59,Thursday
2016-03-25,17.672592592592586,Friday
2016-03-26,14.59,Saturday
2016-03-27,15.33,Sunday
2016-03-28,17.45,Monday
2016-03-29,15.72,Tuesday
2016-03-30,15.31,Wednesday
2016-03-31,14.51,Thursday
2016-04-01,16.65192307692307,Friday
2016-04-02,15.13,Saturday
2016-04-03,16.17,Sunday
2016-04-04,18.15,Monday
2016-04-05,17.0,Tuesday
2016-04-06,17.03,Wednesday
2016-04-07,16.82,Thursday
2016-04-08,16.18,Friday
2016-04-09,17.17,Saturday
2016-04-10,17.37,Sunday
2016-04-11,19.21,Monday
2016-04-12,18.44,Tuesday
2016-04-13,17.13,Wednesday
2016-04-14,17.17,Thursday
2016-04-15,16.61,Friday
2016-04-16,17.18,Saturday
2016-04-17,17.53,Sunday
2016-04-18,20.15,Monday
2016-04-19,18.55,Tuesday
2016-04-20,17.68,Wednesday
2016-04-21,15.7,Thursday
2016-04-22,15.58,Friday
2016-04-23,16.67,Saturday
2016-04-24,17.78,Sunday
2016-04-25,20.18,Monday
2016-04-26,17.81,Tuesday
2016-04-27,17.62,Wednesday
2016-04-28,17.92,Thursday
2016-04-29,16.02,Friday
2016-04-30,17.19,Saturday
2016-05-01,18.2,Sunday
2016-05-02,19.71,Monday
2016-05-03,19.15,Tuesday
2016-05-04,18.69,Wednesday
2016-05-05,16.77,Thursday
2016-05-06,16.41,Friday
2016-05-07,17.23,Saturday
2016-05-08,17.88,Sunday
2016-05-09,19.26,Monday
2016-05-10,18.92,Tuesday
2016-05-11,18.15,Wednesday
2016-05-12,18.43,Thursday
2016-05-13,16.81,Friday
2016-05-14,18.16,Saturday
2016-05-15,19.18,Sunday
2016-05-16,21.1,Monday
2016-05-17,18.96,Tuesday
2016-05-18,17.96,Wednesday
2016-05-19,17.64,Thursday
2016-05-20,16.16,Friday
2016-05-21,17.89,Saturday
2016-05-22,15.63,Sunday
2016-05-23,19.55,Monday
2016-05-24,18.48,Tuesday
2016-05-25,18.78,Wednesday
2016-05-26,17.9,Thursday
2016-05-27,16.35,Friday
2016-05-28,18.1,Saturday
2016-05-29,19.0,Sunday
2016-05-30,19.55,Monday
2016-05-31,19.03,Tuesday
2016-06-01,18.73,Wednesday
2016-06-02,17.31,Thursday
2016-06-03,15.92,Friday
2016-06-04,15.62,Saturday
2016-06-05,18.88,Sunday
2016-06-06,21.89,Monday
2016-06-07,19.1,Tuesday
2016-06-08,20.11,Wednesday
2016-06-09,18.97,Thursday
2016-06-10,17.79,Friday
2016-06-11,20.3,Saturday
2016-06-12,21.56,Sunday
2016-06-13,22.99,Monday
2016-06-14,21.6,Tuesday
2016-06-15,19.54,Wednesday
2016-06-16,18.2,Thursday
2016-06-17,16.32,Friday
2016-06-18,18.41,Saturday
2016-06-19,19.03,Sunday
2016-06-20,20.93,Monday
2016-06-21,19.77,Tuesday
2016-06-22,19.88,Wednesday
2016-06-23,19.59,Thursday
2016-06-24,17.87,Friday
2016-06-25,19.31,Saturday
2016-06-26,20.25,Sunday
2016-06-27,18.67,Monday
2016-06-28,20.02,Tuesday
2016-06-29,19.58,Wednesday
2016-06-30,23.21,Thursday
2016-07-01,17.24,Friday
2016-07-02,20.22,Saturday
2016-07-03,20.83,Sunday
2016-07-04,21.62,Monday
2016-07-05,18.72,Tuesday
2016-07-06,14.51,Wednesday
2016-07-07,14.88,Thursday
2016-07-08,16.1,Friday
2016-07-09,18.41,Saturday
2016-07-10,20.36,Sunday
2016-07-11,21.42,Monday
2016-07-12,20.02,Tuesday
2016-07-13,19.22,Wednesday
2016-07-14,19.21,Thursday
2016-07-15,17.86,Friday
2016-07-16,20.21,Saturday
2016-07-17,20.72,Sunday
2016-07-18,22.11,Monday
2016-07-19,20.95,Tuesday
2016-07-20,19.40551724137932,Wednesday
2016-07-21,19.392500000000013,Thursday
2016-07-22,19.374444444444457,Friday
2016-07-23,19.36615384615386,Saturday
2016-07-24,19.426000000000016,Sunday
2016-07-25,19.43083333333335,Monday
2016-07-26,19.395217391304364,Tuesday
2016-07-27,19.428181818181834,Wednesday
2016-07-28,19.400000000000016,Thursday
2016-07-29,19.39100000000002,Friday
2016-07-30,19.190000000000023,Saturday
2016-07-31,19.298333333333357,Sunday
2016-08-01,19.24411764705885,Monday
2016-08-02,19.145000000000028,Tuesday
2016-08-03,18.98000000000003,Wednesday
2016-08-04,18.998571428571463,Thursday
2016-08-05,19.34384615384619,Friday
2016-08-06,19.715833333333375,Saturday
2016-08-07,20.0445454545455,Sunday
2016-08-08,20.208000000000048,Monday
2016-08-09,20.19111111111117,Tuesday
2016-08-10,20.03750000000006,Wednesday
2016-08-11,20.040000000000067,Thursday
2016-08-12,20.176666666666744,Friday
2016-08-13,20.37000000000009,Saturday
2016-08-14,20.997500000000112,Sunday
2016-08-15,21.26000000000015,Monday
2016-08-16,21.530000000000225,Tuesday
2016-08-17,24.93,Wednesday
2016-08-18,22.3,Thursday
2016-08-19,20.31,Friday
2016-08-20,23.25,Saturday
2016-08-21,23.95,Sunday
2016-08-22,25.94,Monday
2016-08-23,25.35,Tuesday
2016-08-24,24.11,Wednesday
2016-08-25,22.25,Thursday
2016-08-26,20.79,Friday
2016-08-27,25.42,Saturday
2016-08-28,26.54,Sunday
2016-08-29,23.761666666666702,Monday
2016-08-30,23.761666666666702,Tuesday
2016-08-31,23.761666666666702,Wednesday
2016-09-01,23.761666666666702,Thursday
2016-09-02,23.761666666666702,Friday
2016-09-03,23.761666666666702,Saturday
2016-09-04,23.761666666666702,Sunday
2016-09-05,23.761666666666702,Monday
2016-09-06,27.95,Tuesday
2016-09-07,24.72,Wednesday
2016-09-08,22.95,Thursday
2016-09-09,20.75,Friday
2016-09-10,23.23,Saturday
2016-09-11,23.61,Sunday
2016-09-12,21.11,Monday
2016-09-13,24.11,Tuesday
2016-09-14,27.33,Wednesday
2016-09-15,27.96,Thursday
2016-09-16,21.48,Friday
2016-09-17,24.61,Saturday
2016-09-18,24.44,Sunday
2016-09-19,25.88,Monday
2016-09-20,21.12,Tuesday
2016-09-21,23.38,Wednesday
2016-09-22,22.83,Thursday
2016-09-23,20.51,Friday
2016-09-24,23.02,Saturday
2016-09-25,23.81,Sunday
2016-09-26,24.71,Monday
2016-09-27,25.2,Tuesday
2016-09-28,24.11,Wednesday
2016-09-29,22.86,Thursday
2016-09-30,20.99,Friday
2016-10-01,24.14,Saturday
2016-10-02,23.88,Sunday
2016-10-03,26.07,Monday
2016-10-04,26.38,Tuesday
2016-10-05,23.901379310344858,Wednesday
2016-10-06,23.75678571428574,Thursday
2016-10-07,20.85,Friday
2016-10-08,23.05,Saturday
2016-10-09,23.95,Sunday
2016-10-10,24.91,Monday
2016-10-11,19.7,Tuesday
2016-10-12,17.72,Wednesday
2016-10-13,21.41,Thursday
2016-10-14,21.27,Friday
2016-10-15,24.25,Saturday
2016-10-16,24.59,Sunday
2016-10-17,26.99,Monday
2016-10-18,25.23,Tuesday
2016-10-19,23.66,Wednesday
2016-10-20,22.12,Thursday
2016-10-21,20.25,Friday
2016-10-22,23.4,Saturday
2016-10-23,23.62,Sunday
2016-10-24,25.39,Monday
2016-10-25,24.28,Tuesday
2016-10-26,23.48,Wednesday
2016-10-27,22.31,Thursday
2016-10-28,19.9,Friday
2016-10-29,22.61,Saturday
2016-10-30,22.99,Sunday
2016-10-31,25.23,Monday
2016-11-01,24.03,Tuesday
2016-11-02,23.74,Wednesday
2016-11-03,22.67,Thursday
2016-11-04,20.86,Friday
2016-11-05,22.98,Saturday
2016-11-06,23.32,Sunday
2016-11-07,25.02,Monday
2016-11-08,24.6,Tuesday
2016-11-09,25.3,Wednesday
2016-11-10,24.22,Thursday
2016-11-11,20.82,Friday
2016-11-12,23.48,Saturday
2016-11-13,24.37,Sunday
2016-11-14,25.56,Monday
2016-11-15,24.23,Tuesday
2016-11-16,24.03,Wednesday
2016-11-17,22.34,Thursday
2016-11-18,20.33,Friday
2016-11-19,22.77,Saturday
2016-11-20,20.38,Sunday
2016-11-21,24.42,Monday
2016-11-22,23.95,Tuesday
2016-11-23,22.7,Wednesday
2016-11-24,21.13,Thursday
2016-11-25,20.06,Friday
2016-11-26,22.9,Saturday
2016-11-27,22.25,Sunday
2016-11-28,21.39,Monday
2016-11-29,22.78,Tuesday
2016-11-30,20.29,Wednesday
2016-12-01,21.17,Thursday
2016-12-02,19.55,Friday
2016-12-03,22.7,Saturday
2016-12-04,22.66,Sunday
2016-12-05,25.2,Monday
2016-12-06,23.75,Tuesday
2016-12-07,22.92,Wednesday
2016-12-08,21.9,Thursday
2016-12-09,19.53,Friday
2016-12-10,22.86,Saturday
2016-12-11,22.93,Sunday
2016-12-12,24.77,Monday
2016-12-13,23.66,Tuesday
2016-12-14,22.66,Wednesday
2016-12-15,20.83,Thursday
2016-12-16,19.65,Friday
2016-12-17,18.57,Saturday
2016-12-18,22.42,Sunday
2016-12-19,25.07,Monday
2016-12-20,25.04,Tuesday
2016-12-21,26.28,Wednesday
2016-12-22,24.2,Thursday
2016-12-23,22.54,Friday
2016-12-24,25.06,Saturday
2016-12-25,25.87,Sunday
2016-12-26,22.70689655172414,Monday
2016-12-27,26.92,Tuesday
2016-12-28,27.03,Wednesday
2016-12-29,26.07,Thursday
2016-12-30,24.36,Friday
2016-12-31,26.15,Saturday
